,heure,solaire,eolien,nucleaire,hydraulique,gaz,imports
238,2024-01-10 22:00:00,0.0,0.21360054735821996,0.8,1.0,0.9,1.0
239,2024-01-10 23:00:00,0.0,0.22077819636191778,0.8,1.0,0.9,1.0
240,2024-01-11 00:00:00,0.0,0.22994672611116687,0.8,1.0,0.9,1.0
241,2024-01-11 01:00:00,0.0,0.22465517465588597,0.8,1.0,0.9,1.0
242,2024-01-11 02:00:00,0.0,0.23256630603952375,0.8,1.0,0.9,1.0
243,2024-01-11 03:00:00,0.0,0.2522655471007675,0.8,1.0,0.9,1.0
244,2024-01-11 04:00:00,0.0,0.27966635315138044,0.8,1.0,0.9,1.0
245,2024-01-11 05:00:00,0.0,0.2773611228144264,0.8,1.0,0.9,1.0
246,2024-01-11 06:00:00,0.0,0.2758417664559794,0.8,1.0,0.9,1.0
247,2024-01-11 07:00:00,0.0,0.27007869061359424,0.8,1.0,0.9,1.0
248,2024-01-11 08:00:00,0.014817497950436753,0.29166402922325496,0.8,1.0,0.9,1.0
249,2024-01-11 09:00:00,0.020196091512516997,0.3214224572093891,0.8,1.0,0.9,1.0
250,2024-01-11 10:00:00,0.05600065061695313,0.3189600520767336,0.8,1.0,0.9,1.0
251,2024-01-11 11:00:00,0.13588858440667442,0.27662764043448645,0.8,1.0,0.9,1.0
252,2024-01-11 12:00:00,0.21387819105683795,0.23591936834782057,0.8,1.0,0.9,1.0
253,2024-01-11 13:00:00,0.25891072931190195,0.22879411094268984,0.8,1.0,0.9,1.0
254,2024-01-11 14:00:00,0.2663458439418364,0.24734073683545654,0.8,1.0,0.9,1.0
255,2024-01-11 15:00:00,0.22642824270169187,0.2834909398467815,0.8,1.0,0.9,1.0
256,2024-01-11 16:00:00,0.14480017570070933,0.33808298555373884,0.8,1.0,0.9,1.0
257,2024-01-11 17:00:00,0.05621157585468177,0.39314655564780043,0.8,1.0,0.9,1.0
258,2024-01-11 18:00:00,0.016821287708858802,0.4499390484945776,0.8,1.0,0.9,1.0
259,2024-01-11 19:00:00,0.0,0.49221906853825764,0.8,1.0,0.9,1.0
260,2024-01-11 20:00:00,0.0,0.4880277406528866,0.8,1.0,0.9,1.0
261,2024-01-11 21:00:00,0.0,0.445904895404908,0.8,1.0,0.9,1.0
262,2024-01-11 22:00:00,0.0,0.3954517859847545,0.8,1.0,0.9,1.0
263,2024-01-11 23:00:00,0.0,0.350709360808419,0.8,1.0,0.9,1.0
